,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
64,65,5.6,2.9,3.6,1.3,Iris-versicolor
65,66,6.7,3.1,4.4,1.4,Iris-versicolor
66,67,5.6,3.0,4.5,1.5,Iris-versicolor
67,68,5.8,2.7,4.1,1.0,Iris-versicolor
68,69,6.2,2.2,4.5,1.5,Iris-versicolor
69,70,5.6,2.5,3.9,1.1,Iris-versicolor
70,71,5.9,3.2,4.8,1.8,Iris-versicolor
71,72,6.1,2.8,4.0,1.3,Iris-versicolor
72,73,6.3,2.5,4.9,1.5,Iris-versicolor
73,74,6.1,2.8,4.7,1.2,Iris-versicolor
74,75,6.4,2.9,4.3,1.3,Iris-versicolor
75,76,6.6,3.0,4.4,1.4,Iris-versicolor
76,77,6.8,2.8,4.8,1.4,Iris-versicolor
77,78,6.7,3.0,5.0,1.7,Iris-versicolor
78,79,6.0,2.9,4.5,1.5,Iris-versicolor
79,80,5.7,2.6,3.5,1.0,Iris-versicolor
80,81,5.5,2.4,3.8,1.1,Iris-versicolor
81,82,5.5,2.4,3.7,1.0,Iris-versicolor
82,83,5.8,2.7,3.9,1.2,Iris-versicolor
83,84,6.0,2.7,5.1,1.6,Iris-versicolor
84,85,5.4,3.0,4.5,1.5,Iris-versicolor
85,86,6.0,3.4,4.5,1.6,Iris-versicolor
86,87,6.7,3.1,4.7,1.5,Iris-versicolor
87,88,6.3,2.3,4.4,1.3,Iris-versicolor
88,89,5.6,3.0,4.1,1.3,Iris-versicolor
89,90,5.5,2.5,4.0,1.3,Iris-versicolor
90,91,5.5,2.6,4.4,1.2,Iris-versicolor
91,92,6.1,3.0,4.6,1.4,Iris-versicolor
92,93,5.8,2.6,4.0,1.2,Iris-versicolor
93,94,5.0,2.3,3.3,1.0,Iris-versicolor
94,95,5.6,2.7,4.2,1.3,Iris-versicolor
95,96,5.7,3.0,4.2,1.2,Iris-versicolor
96,97,5.7,2.9,4.2,1.3,Iris-versicolor
97,98,6.2,2.9,4.3,1.3,Iris-versicolor
98,99,5.1,2.5,3.0,1.1,Iris-versicolor
99,100,5.7,2.8,4.1,1.3,Iris-versicolor
100,101,6.3,3.3,6.0,2.5,Iris-virginica
101,102,5.8,2.7,5.1,1.9,Iris-virginica
102,103,7.1,3.0,5.9,2.1,Iris-virginica
103,104,6.3,2.9,5.6,1.8,Iris-virginica
104,105,6.5,3.0,5.8,2.2,Iris-virginica
105,106,7.6,3.0,6.6,2.1,Iris-virginica
106,107,4.9,2.5,4.5,1.7,Iris-virginica
107,108,7.3,2.9,6.3,1.8,Iris-virginica
108,109,6.7,2.5,5.8,1.8,Iris-virginica
109,110,7.2,3.6,6.1,2.5,Iris-virginica
110,111,6.5,3.2,5.1,2.0,Iris-virginica
111,112,6.4,2.7,5.3,1.9,Iris-virginica
112,113,6.8,3.0,5.5,2.1,Iris-virginica
113,114,5.7,2.5,5.0,2.0,Iris-virginica
114,115,5.8,2.8,5.1,2.4,Iris-virginica
115,116,6.4,3.2,5.3,2.3,Iris-virginica
116,117,6.5,3.0,5.5,1.8,Iris-virginica
117,118,7.7,3.8,6.7,2.2,Iris-virginica
118,119,7.7,2.6,6.9,2.3,Iris-virginica
119,120,6.0,2.2,5.0,1.5,Iris-virginica
120,121,6.9,3.2,5.7,2.3,Iris-virginica
121,122,5.6,2.8,4.9,2.0,Iris-virginica
122,123,7.7,2.8,6.7,2.0,Iris-virginica
123,124,6.3,2.7,4.9,1.8,Iris-virginica
124,125,6.7,3.3,5.7,2.1,Iris-virginica
125,126,7.2,3.2,6.0,1.8,Iris-virginica
126,127,6.2,2.8,4.8,1.8,Iris-virginica
127,128,6.1,3.0,4.9,1.8,Iris-virginica
128,129,6.4,2.8,5.6,2.1,Iris-virginica
129,130,7.2,3.0,5.8,1.6,Iris-virginica
130,131,7.4,2.8,6.1,1.9,Iris-virginica
131,132,7.9,3.8,6.4,2.0,Iris-virginica
132,133,6.4,2.8,5.6,2.2,Iris-virginica
133,134,6.3,2.8,5.1,1.5,Iris-virginica
134,135,6.1,2.6,5.6,1.4,Iris-virginica
135,136,7.7,3.0,6.1,2.3,Iris-virginica
136,137,6.3,3.4,5.6,2.4,Iris-virginica
137,138,6.4,3.1,5.5,1.8,Iris-virginica
138,139,6.0,3.0,4.8,1.8,Iris-virginica
139,140,6.9,3.1,5.4,2.1,Iris-virginica
140,141,6.7,3.1,5.6,2.4,Iris-virginica
141,142,6.9,3.1,5.1,2.3,Iris-virginica
142,143,5.8,2.7,5.1,1.9,Iris-virginica
143,144,6.8,3.2,5.9,2.3,Iris-virginica
144,145,6.7,3.3,5.7,2.5,Iris-virginica
145,146,6.7,3.0,5.2,2.3,Iris-virginica
146,147,6.3,2.5,5.0,1.9,Iris-virginica
147,148,6.5,3.0,5.2,2.0,Iris-virginica
148,149,6.2,3.4,5.4,2.3,Iris-virginica
149,150,5.9,3.0,5.1,1.8,Iris-virginica
0,1,5.151,3.535,1.3579999999999999,0.21000000000000002,Iris-setosa
1,2,4.557,3.27,1.3299999999999998,0.194,Iris-setosa
2,3,4.371,3.232,1.196,0.2,Iris-setosa
3,4,4.278,3.317,1.605,0.20800000000000002,Iris-setosa
4,5,5.05,3.2760000000000002,1.428,0.194,Iris-setosa
5,6,5.886,3.588,1.666,0.42400000000000004,Iris-setosa
6,7,4.462,3.4,1.3299999999999998,0.27899999999999997,Iris-setosa
7,8,5.35,3.23,1.47,0.20600000000000002,Iris-setosa
8,9,4.752000000000001,3.045,1.3019999999999998,0.192,Iris-setosa
9,10,4.41,3.1,1.44,0.096,Iris-setosa
10,11,5.886,3.8480000000000003,1.365,0.21400000000000002,Iris-setosa
11,12,4.56,3.366,1.6320000000000001,0.202,Iris-setosa
12,13,4.704,3.09,1.4,0.096,Iris-setosa
13,14,4.343,3.03,1.155,0.094,Iris-setosa
14,15,5.568,3.64,1.2,0.192,Iris-setosa
15,16,5.415,4.4,1.59,0.392,Iris-setosa
16,17,5.562,3.822,1.3,0.364,Iris-setosa
17,18,4.845,3.64,1.3159999999999998,0.285,Iris-setosa
18,19,5.871,3.952,1.802,0.282,Iris-setosa
19,20,5.0489999999999995,3.9139999999999997,1.47,0.27599999999999997,Iris-setosa
20,21,4.914000000000001,3.06,1.734,0.21200000000000002,Iris-setosa
21,22,4.691999999999999,3.478,1.395,0.36000000000000004,Iris-setosa
22,23,4.784,3.528,1.07,0.202,Iris-setosa
23,24,5.303999999999999,3.267,1.547,0.545,Iris-setosa
24,25,4.8,3.332,2.0709999999999997,0.182,Iris-setosa
25,26,5.0,2.79,1.472,0.18000000000000002,Iris-setosa
26,27,5.15,3.366,1.552,0.40800000000000003,Iris-setosa
27,28,4.992,3.57,1.395,0.20600000000000002,Iris-setosa
28,29,5.252,3.128,1.2879999999999998,0.21800000000000003,Iris-setosa
29,30,4.23,3.136,1.6480000000000001,0.21800000000000003,Iris-setosa
30,31,4.56,3.286,1.7280000000000002,0.182,Iris-setosa
31,32,5.562,3.502,1.59,0.42400000000000004,Iris-setosa
32,33,4.94,3.772,1.59,0.10200000000000001,Iris-setosa
33,34,5.28,4.41,1.47,0.182,Iris-setosa
34,35,4.8020000000000005,3.069,1.575,0.096,Iris-setosa
35,36,4.85,2.912,1.164,0.194,Iris-setosa
36,37,4.95,3.29,1.339,0.19,Iris-setosa
37,38,4.655,3.162,1.515,0.10500000000000001,Iris-setosa
38,39,4.708,2.76,1.339,0.20400000000000001,Iris-setosa
39,40,5.508,3.332,1.605,0.20400000000000001,Iris-setosa
40,41,5.3,3.325,1.222,0.303,Iris-setosa
41,42,4.59,2.1159999999999997,1.352,0.324,Iris-setosa
42,43,4.5760000000000005,2.976,1.2610000000000001,0.19,Iris-setosa
43,44,5.05,3.465,1.488,0.63,Iris-setosa
44,45,5.406,3.4579999999999997,1.9189999999999998,0.41600000000000004,Iris-setosa
45,46,5.184,2.79,1.3019999999999998,0.303,Iris-setosa
46,47,4.742999999999999,3.61,1.4400000000000002,0.2,Iris-setosa
47,48,4.324,3.104,1.386,0.194,Iris-setosa
48,49,5.777,3.478,1.59,0.19,Iris-setosa
49,50,5.2,3.102,1.414,0.198,Iris-setosa
50,51,7.28,3.4560000000000004,4.7,1.2599999999999998,Iris-versicolor
51,52,6.784000000000001,3.168,4.545,1.365,Iris-versicolor
52,53,7.314,3.1310000000000002,4.753,1.5,Iris-versicolor
53,54,5.885,2.3,3.68,1.2610000000000001,Iris-versicolor
54,55,5.98,2.5759999999999996,4.462,1.35,Iris-versicolor
55,56,5.529,3.0519999999999996,4.185,1.417,Iris-versicolor
56,57,6.741,3.3,4.559,1.6800000000000002,Iris-versicolor
57,58,5.194000000000001,2.304,3.0029999999999997,0.99,Iris-versicolor
58,59,7.061999999999999,3.074,4.186,1.3780000000000001,Iris-versicolor
59,60,5.668,2.4570000000000003,4.095,1.498,Iris-versicolor
60,61,5.45,1.82,3.7800000000000002,1.07,Iris-versicolor
61,62,5.841,3.27,4.368,1.53,Iris-versicolor
62,63,6.24,2.31,3.88,0.9,Iris-versicolor
63,64,5.734,2.668,4.277,1.3579999999999999,Iris-versicolor
64,65,6.103999999999999,2.871,3.3120000000000003,1.196,Iris-versicolor
65,66,7.236000000000001,3.193,4.752000000000001,1.3019999999999998,Iris-versicolor
66,67,5.039999999999999,3.09,4.86,1.455,Iris-versicolor
67,68,5.8,2.592,3.9359999999999995,0.9299999999999999,Iris-versicolor
68,69,6.696,2.31,4.365,1.5,Iris-versicolor
69,70,5.207999999999999,2.55,3.7439999999999998,1.0010000000000001,Iris-versicolor
70,71,5.3100000000000005,3.072,4.512,1.944,Iris-versicolor
71,72,5.978,2.8,4.28,1.196,Iris-versicolor
72,73,6.867,2.475,4.4590000000000005,1.41,Iris-versicolor
73,74,6.1,2.996,4.9350000000000005,1.236,Iris-versicolor
74,75,6.912000000000001,2.668,4.686999999999999,1.365,Iris-versicolor
75,76,6.204,3.18,4.048,1.5259999999999998,Iris-versicolor
76,77,6.528,2.856,4.896,1.3439999999999999,Iris-versicolor
77,78,7.035,2.94,4.9,1.751,Iris-versicolor
78,79,6.24,2.697,4.32,1.605,Iris-versicolor
79,80,5.985,2.7560000000000002,3.36,1.07,Iris-versicolor
80,81,5.72,2.352,3.7239999999999998,1.177,Iris-versicolor
81,82,5.72,2.52,3.922,1.05,Iris-versicolor
82,83,5.51,2.862,3.588,1.224,Iris-versicolor
83,84,6.24,2.673,5.558999999999999,1.616,Iris-versicolor
84,85,5.7780000000000005,3.06,4.77,1.365,Iris-versicolor
85,86,5.88,3.23,4.455,1.488,Iris-versicolor
86,87,6.03,3.0380000000000003,5.0760000000000005,1.575,Iris-versicolor
87,88,5.733,2.231,4.0040000000000004,1.183,Iris-versicolor
88,89,5.096,3.27,4.345999999999999,1.4040000000000001,Iris-versicolor
89,90,5.225,2.675,3.92,1.4040000000000001,Iris-versicolor
90,91,5.115,2.7560000000000002,4.796,1.2,Iris-versicolor
91,92,6.587999999999999,3.24,4.4159999999999995,1.4,Iris-versicolor
92,93,5.9159999999999995,2.496,4.32,1.272,Iris-versicolor
93,94,4.9,2.254,3.597,1.01,Iris-versicolor
94,95,6.048,2.673,4.494,1.196,Iris-versicolor
95,96,5.529,2.97,4.3260000000000005,1.128,Iris-versicolor
96,97,5.244,3.074,4.2,1.326,Iris-versicolor
97,98,6.138,2.61,4.4719999999999995,1.352,Iris-versicolor
98,99,4.997999999999999,2.65,3.18,1.012,Iris-versicolor
99,100,6.213,2.5199999999999996,3.8949999999999996,1.326,Iris-versicolor
100,101,6.867,3.135,6.06,2.525,Iris-virginica
101,102,5.568,2.862,5.303999999999999,1.938,Iris-virginica
102,103,6.957999999999999,2.82,6.313000000000001,1.9320000000000002,Iris-virginica
103,104,6.867,2.755,5.768,1.8900000000000001,Iris-virginica
104,105,5.85,2.91,6.322,2.222,Iris-virginica
105,106,7.675999999999999,3.15,7.061999999999999,1.8900000000000001,Iris-virginica
106,107,5.194000000000001,2.25,4.635,1.802,Iris-virginica
107,108,7.154,2.929,5.922,1.962,Iris-virginica
108,109,6.4990000000000006,2.6,5.394,1.6380000000000001,Iris-virginica
109,110,6.696,3.888,6.2219999999999995,2.6,Iris-virginica
110,111,5.915,3.4240000000000004,5.303999999999999,1.9,Iris-virginica
111,112,6.5280000000000005,2.4570000000000003,5.3,1.976,Iris-virginica
112,113,6.596,3.24,5.17,2.184,Iris-virginica
113,114,5.529,2.525,5.3,1.8,Iris-virginica
114,115,5.452,2.94,5.1,2.496,Iris-virginica
115,116,5.760000000000001,3.4880000000000004,5.406,2.3689999999999998,Iris-virginica
116,117,6.825,3.15,5.72,1.746,Iris-virginica
117,118,7.931,3.762,7.236000000000001,2.156,Iris-virginica
118,119,8.162,2.678,6.9,2.3689999999999998,Iris-virginica
119,120,6.0,2.0020000000000002,5.25,1.395,Iris-virginica
120,121,6.9,3.136,5.3580000000000005,2.254,Iris-virginica
121,122,5.4879999999999995,2.6039999999999996,4.851,2.08,Iris-virginica
122,123,8.085,2.548,6.8340000000000005,2.04,Iris-virginica
123,124,5.859,2.943,4.557,1.872,Iris-virginica
124,125,6.901,3.3329999999999997,5.3580000000000005,2.0580000000000003,Iris-virginica
125,126,7.704000000000001,3.232,6.12,1.8,Iris-virginica
126,127,5.890000000000001,2.94,5.184,1.6560000000000001,Iris-virginica
127,128,5.795,3.0,4.557,1.8900000000000001,Iris-virginica
128,129,5.952,2.7159999999999997,5.096,2.289,Iris-virginica
129,130,6.984,2.7,5.858,1.7440000000000002,Iris-virginica
130,131,7.178,2.94,6.2219999999999995,1.71,Iris-virginica
131,132,7.742,3.6479999999999997,6.016,1.9,Iris-virginica
132,133,6.08,2.996,5.88,2.112,Iris-virginica
133,134,6.552,2.856,5.3549999999999995,1.56,Iris-virginica
134,135,5.795,2.34,5.039999999999999,1.2879999999999998,Iris-virginica
135,136,7.931,2.79,5.978,2.461,Iris-virginica
136,137,6.867,3.57,5.263999999999999,2.472,Iris-virginica
137,138,6.4,2.914,5.995,1.944,Iris-virginica
138,139,6.42,2.7,5.136,1.854,Iris-virginica
139,140,7.452,3.0380000000000003,5.7780000000000005,2.226,Iris-virginica
140,141,7.1690000000000005,2.914,5.039999999999999,2.184,Iris-virginica
141,142,6.831,3.0380000000000003,5.558999999999999,2.254,Iris-virginica
142,143,5.394,2.484,5.558999999999999,2.033,Iris-virginica
143,144,6.732,3.168,5.428,2.3459999999999996,Iris-virginica
144,145,6.03,3.267,5.757000000000001,2.725,Iris-virginica
145,146,7.035,3.09,5.46,2.2769999999999997,Iris-virginica
146,147,6.426,2.65,5.25,2.033,Iris-virginica
147,148,6.5,2.97,5.668,2.18,Iris-virginica
148,149,5.642,3.604,5.022,2.139,Iris-virginica
149,150,5.9,2.91,5.151,1.692,Iris-virginica
